Recipe_ID,Ingredient_ID
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
2,15
2,16
2,17
2,10
2,18
2,19
2,12
2,4
2,20
2,21
2,1
2,22
2,23
2,5
2,24
2,25
2,26
2,27
2,28
2,8
2,29
2,7
2,30
2,31
2,32
3,33
3,34
3,35
3,36
3,25
3,37
3,29
3,38
3,39
4,40
4,16
4,10
4,32
4,41
4,42
4,10
5,43
5,44
5,45
5,11
5,46
6,15
6,47
6,48
6,42
6,49
6,50
6,10
6,51
6,52
6,53
6,54
6,55
6,56
6,57
6,11
6,58
6,22
7,59
7,60
7,61
7,62
7,26
7,63
7,64
7,65
7,50
7,10
7,6
7,66
7,16
8,67
8,68
8,36
8,69
8,37
8,70
8,71
8,72
8,73
8,10
8,47
8,51
8,52
8,31
8,25
8,10
8,74
9,10
9,4
9,75
9,21
9,47
9,16
9,76
10,77
10,78
10,1
10,79
10,80
10,6
10,81
10,82
10,10
10,83
11,84
11,83
11,85
11,86
11,10
11,87
11,88
12,90
12,40
12,91
12,16
12,8
12,26
12,28
12,92
12,93
12,36
12,1
12,5
12,122
12,23
12,21
12,4
12,12
12,10
12,46
13,94
13,35
13,70
13,34
13,14
13,39
13,21
13,40
13,37
13,95
13,96
13,10
13,97
14,98
14,99
14,10
14,6
14,100
14,82
14,16
15,14
15,101
15,78
15,1
15,36
15,8
15,17
15,21
15,102
15,93
15,103
15,32
15,46
15,76
15,10
15,24
15,104
15,1
16,2
16,105
16,105
16,64
16,73
16,107
16,122
16,87
16,108
16,101
16,109
16,110
16,111
17,112
17,1
17,113
17,36
17,114
17,46
17,115
17,116
17,111
17,114
17,117
17,21
17,10
17,118
17,119
18,120
18,121
18,57
18,95
18,36
18,113
18,21
18,123
18,12
18,7
18,10
18,32
18,16
19,124
19,125
19,126
19,57
19,25
19,118
19,127
19,128
19,16
19,129
20,130
20,49
20,37
20,35
20,132
20,70
20,69
20,34
20,133
20,10
21,1
21,57
21,107
21,21
21,29
21,114
21,134
21,63
21,72
21,101
21,135
21,137
21,138
21,10
21,139
21,11
21,140
21,59
21,118
21,32
21,141
22,49
22,61
22,142
22,143
22,1
22,113
22,107
22,57
22,40
22,72
22,37
22,6
22,16
22,97
22,11
22,46
22,10
23,144
23,50
23,145
23,146
23,147
24,39
24,132
24,91
24,29
24,148
24,26
24,8
24,103
24,102
24,149
24,150
24,37
24,29
24,57
24,96
24,133
24,151
24,10
24,32
24,16
25,152
25,153
25,10
25,22
25,118
25,154
25,64
25,155
25,110
25,31
25,153
25,156
25,57
25,107
25,111
25,137
26,169
26,170
26,171
26,4
26,172
26,10
26,1
26,16
26,167
26,108
26,123
26,173
26,174
27,158
27,10
27,102
27,159
27,160
27,161
27,57
27,6
27,162
27,81
27,163
28,164
28,165
28,166
28,57
28,39
28,166
28,167
28,168
28,81
28,16
28,10
29,175
29,176
29,177
29,57
29,159
29,178
29,10
29,81
29,166
30,158
30,10
30,31
30,84
30,180
30,181
30,183
30,81
30,10
30,159
30,184
30,182
31,185
31,186
31,16
31,11
31,173
31,33
31,188
31,189
31,190
31,191
32,192
32,193
32,194
32,195
32,187
32,16
32,196
32,197
32,104
32,14
32,198
32,4
32,170
32,199
32,186
32,200
32,10
33,201
33,202
33,203
33,204
33,159
33,57
33,162
33,167
34,205
34,206
34,207
34,208
34,209
34,127
34,161
34,11
34,50
34,135
34,166
34,13
34,10
35,210
35,31
35,102
35,211
36,99
36,212
36,167
36,159
36,11
36,213
37,60
37,1
37,172
37,214
37,215
37,11
37,170
37,7
37,102
37,10
37,186
37,216
37,217
37,166
37,16
37,171
38,78
38,6
38,159
38,204
38,1
38,57
38,102
38,218
38,33
38,162
39,219
39,16
39,166
39,135
39,194
39,1
39,5
39,36
39,165
39,171
39,220
39,75
39,10
39,7
39,200
40,47
40,158
40,57
40,204
40,186
40,82
40,215
40,222
40,167
40,10
41,223
41,19
41,196
41,165
41,108
41,123
41,36
41,174
41,194
41,173
41,197
41,4
41,170
41,171
41,172
41,200
41,77
41,10
42,225
42,77
42,123
42,36
42,174
42,194
42,173
42,226
42,46
42,10
42,227
42,228
42,229
43,159
43,230
43,231
43,232
43,1
43,57
43,223
43,105
43,130
43,234
43,235
43,236
43,237
43,238
43,179
43,167
43,170
43,189
44,78
44,11
44,239
44,57
44,80
44,81
44,240
44,10
44,179
44,7
44,241
44,48
44,158
44,242
45,165
45,188
45,204
45,57
45,1
45,179
45,31
45,4
45,10
45,243
45,197
45,135
46,2
46,14
46,16
46,8
46,245
46,26
46,194
46,135
46,166
46,108
46,1
46,10
46,57
46,165
46,4
46,36
46,167
46,200
46,7
46,159
47,66
47,16
47,108
47,57
47,246
47,247
47,140
47,136
47,4
47,10
47,248
47,249
48,159
48,240
48,57
48,1
48,10
48,225
48,81
48,250
48,251
48,252
48,237
48,162
49,176
49,214
49,179
49,1
49,10
49,57
49,224
49,4
49,6
49,16
49,237
50,1
50,2
50,16
50,36
50,194
50,5
50,173
50,174
50,10
50,6
50,7
50,170
50,171
50,102
50,186
50,167
50,189
50,244
