Recipe_ID,Ingredient_ID
1,34
1,35
1,36
1,16
1,37
1,38
1,39
1,40
1,41
2,42
2,13
2,16
2,33
2,29
2,43
2,44
2,45
2,30
2,54
2,47
2,48
2,49
2,50
3,51
3,33
3,52
3,50
3,53
3,54
3,13
3,12
3,55
3,16
4,88
4,49
4,16
4,29
4,97
5,1
5,22
5,57
5,58
5,28
5,59
5,23
5,60
5,31
5,16
5,61
5,62
5,63
5,17
6,64
6,65
6,13
6,66
6,67
6,43
6,68
6,49
6,29
6,69
6,18
6,70
7,71
7,43
7,12
7,13
7,48
7,33
7,45
7,72
7,49
7,50
7,69
7,16
8,73
8,74
8,20
8,14
8,61
8,75
8,76
8,77
9,78
9,79
9,5
9,23
9,80
9,13
9,81
9,82
9,49
9,16
10,83
10,16
10,84
10,61
10,59
10,21
10,23
10,85
10,86
10,31
10,87
11,88
11,7
11,89
11,28
11,67
11,23
11,32
11,12
11,13
11,54
11,90
11,91
11,55
11,16
11,33
11,18
12,92
12,38
12,8
12,65
12,16
12,44
12,43
12,13
12,80
13,93
13,16
13,43
13,32
13,30
13,94
13,59
13,95
13,49
13,50
13,80
14,96
14,3
14,5
14,30
14,49
14,97
14,48
14,16
14,33
14,46
14,98
14,99
14,100
14,101
14,29
14,43
14,50
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
15,16
15,17
15,18
16,19
16,20
16,21
16,3
16,5
16,22
16,23
16,10
16,16
16,24
16,25
16,26
17,102
17,3
17,103
17,104
17,105
17,14
17,13
17,12
17,91
17,84
17,16
17,93
17,49
17,30
17,69
17,33
17,54
18,106
18,107
18,66
18,67
18,29
18,30
18,108
18,45
18,98
18,46
18,43
18,33
19,109
19,80
19,50
19,108
19,33
19,99
19,101
19,100
19,94
19,110
19,32
19,3
19,67
19,23
19,111
19,13
19,12
19,54
19,16
19,112
20,127
20,107
20,57
20,67
20,23
20,128
20,35
20,59
20,77
